Confirmed,Country,End date,Level,Place,Start date,URL
,Turkey,04/30/2020,State,Nigde,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Ordu,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Rize,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Sakarya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Samsun,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Siirt,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Sinop,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Sivas,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Tekirdag,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Tokat,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Trabzon,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Tunceli,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Belgium,04/18/2020,State,Antwerp,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,East Flanders,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Flemish Brabant,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Limburg,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,West Flanders,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Hainaut,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Liège,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Luxembourg,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Namur,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Belgium,04/18/2020,State,Walloon Brabant,03/18/2020,https://www.schengenvisainfo.com/news/belgium-extends-coronavirus-lockdown-to-april-19/
,Netherland,06/01/2020,State, Drenthe,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Flevoland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Friesland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Gelderland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Groningen,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State, Limburg,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,North Brabant,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,North Holland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State, Overijssel,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,South Holland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Utrecht,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Netherland,06/01/2020,State,Zeeland,03/24/2020,https://www.nst.com.my/world/world/2020/03/577616/covid-19-netherlands-extends-partial-lockdown-june
,Canada,06/30/2020,State,Ontario,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Quebec,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Nova Scotia,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,New Brunswick,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Monitoba,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,British Colombia,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Prince Edward Iceland,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Saskachewan,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,06/30/2020,State,Alberta,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Canada,05/30/2020,State,New Foundland and Labrador,03/23/2020,https://nationalpost.com/news/canada/coronavirus-covid19-pandemic-canadian-cities
,Austria,04/14/2020,State,Viena,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Lower Austria,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Upper Austria,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Styria,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Tyrol,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Chrinthia,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Salzburg,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Vorerlberg,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Austria,04/14/2020,State,Burgenland,03/16/2020,https://metro.co.uk/2020/04/06/coronavirus-austria-lockdown-status-coronavirus-cases-population-12516501/
,Brazil,04/22/2020,State,Acre,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Alagoas,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Amapa,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Amazonas,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Bahia,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Ceara,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Distrito Federal,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Espirito Santp,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Goias,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Maranhao,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Mato Grosso,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Mato Grosso do Sul,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Minas Gerais,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Para,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Paraiba,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State, Parana,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Paernambuco,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Piaui,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Rio de Janeiro,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Rio Grande do Sul,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Rondonia,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Roraima,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Santa Catarina,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Sao Paulo,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Sergipe,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Brazil,04/22/2020,State,Tocantins,03/20/2020,https://www.news18.com/news/world/jair-bolsonaro-says-brazil-cannot-take-months-of-lockdown-due-to-covid-19-2563467.html
,Portugal,04/02/2020,State,Minho,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Trás-os-Montes e Alto Douro,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Douro Litoral,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Beira Litoral,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Beira Alta,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Beira Baixa,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Ribatejo,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Estremadura,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Alto Alentejo,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Baixo Alentejo,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Portugal,04/02/2020,State,Algarve,03/18/2020,https://www.politico.eu/article/portugal-declares-state-of-emergency-coronavirus-covid19-antonio-costa/
,Australia,06/29/2020,State,New South Wales,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Australia,06/29/2020,State,Queensland,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Australia,06/29/2020,State,Victoria,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Australia,06/29/2020,State,Tasmania,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Australia,06/29/2020,State,New South Wales,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Australia,06/29/2020,State,New South Wales,03/29/2020,https://www.theguardian.com/australia-news/2020/apr/02/the-90-day-lockdown-nsw-police-can-enforce-home-isolation-until-at-least-end-of-june
,Norway,04/13/2020,State,Oslo,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Rogaland,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,More Og Romsdal,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Nordland,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Viken,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Innlandent,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Vestfold og Telemark,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Agder,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Vestland,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Trondelag,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Norway,04/13/2020,State,Troms og Finmark,03/12/2020,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
,Ireland,04/12/2020,State,leinster,03/24/2020,https://www.irishpost.com/news/lockdown-ireland-likely-extended-according-health-officials-182848
,Ireland,04/12/2020,State,Ulster,03/24/2020,https://www.irishpost.com/news/lockdown-ireland-likely-extended-according-health-officials-182848
,Ireland,04/12/2020,State,Munster,03/24/2020,https://www.irishpost.com/news/lockdown-ireland-likely-extended-according-health-officials-182848
,Ireland,04/12/2020,State,Connacht,03/24/2020,https://www.irishpost.com/news/lockdown-ireland-likely-extended-according-health-officials-182848
,Denmark,04/15/2020,State,Copenhagen City,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,Copenhagen Surroundings,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,North Zealand,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,East Zealand,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,West & South Zealand,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,Bornholm,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,Funen,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,South Jutland,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,North Jutland,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,West Jutland,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Denmark,04/15/2020,State,East Jutland,03/13/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
,Czech Republic,04/30/2020,State,Prague,03/14/2020,https://www.euractiv.com/section/health-consumers/short_news/czech-republic-update-covid-19/
,Chille,04/04/2020,National,,/3/19/2020/,https://www.aljazeera.com/news/2020/04/life-lockdown-chileans-creative-200406103958048.html
,India,04/14/2020,State,Andhara Pardesh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Arunchahal Pardesh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Assam ,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Bihar,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Chattishgarh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Goa,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Gujrat,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Haryana,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Himachal Pradesh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Jharkhand,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Madhya Pradesh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Maharashtra,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Manipur,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Meghalya,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Mizoram,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Nagaland,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Odisha,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Punjab,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Rajisthan,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Sikkim,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Tamil Nadu,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Telangana,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Tripura,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Utter Predesh,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,Uttarkhand,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,India,04/14/2020,State,West Bengal,03/25/2020,https://www.nytimes.com/2020/03/24/world/asia/india-coronavirus-lockdown.html
,Poland,04/11/2020,State,Greater Poland,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Kuyavian pomeranian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Lesser Poland,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Lodz,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Lower Silesian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Lublin,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Lubusz,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Masovian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Opole,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Podlasie,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Pomeranian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Silesian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Subcarpathian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Swietokrzyskie,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Warmian Masurian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Poland,04/11/2020,State,Western Pomeranian,03/13/2020,https://polandin.com/47115218/pm-announces-border-lockdown-other-virus-countermeasures
,Romania,04/15/2020,State,Alba Lulia,03/16/2020,https://www.deccanherald.com/international/world-news-politics/coronavirus-romania-moves-to-full-virus-lockdown-enforced-by-army-817215.html
,Malaysia,03/14/2020,State,Sabah,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Sarawak,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Johor,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Penang,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Selangor,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Kedah,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Perak,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Kelantan,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Pahang ,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Malacca,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Terengannu,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Negeri Sembilen,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Malaysia,03/14/2020,State,Perlis,03/16/2020,https://www.bangkokpost.com/world/1886320/malaysia-extends-national-lockdown-by-2-weeks-to-curb-virus
,Equador,04/29/2020,National,Quito,03/23/2020,https://www.reuters.com/article/health-coronavirus-ecuador/ecuador-closes-borders-to-foreign-travelers-due-to-coronavirus-idUSL8N2B70XK
,Philipines,04/14/2020,National,Manila,03/15/2020,https://thediplomat.com/2020/04/the-philippines-coronavirus-lockdown-is-becoming-a-crackdown/
,luxembourg,04/14/2020,National,Luxembourg,03/18/2020,https://www.themayor.eu/en/shops-and-restaurants-in-luxembourg-city-wont-pay-rent-during-lockdown
,Saudi Arabia,04/13/2020,State,Qasim,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Riyadh,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Tabuk,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Madina,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Mecca,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Northern Border,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
,Saudi Arabia,04/13/2020,State,Jawf,03/25/2020,https://www.garda.com/crisis24/news-alerts/327351/saudi-arabia-authorities-impose-lockdown-on-jeddah-march-29-update-20
